Date,spy_tlt_corr_90d,cpi_yoy,vix,corr_stress,inflation_stress,vix_stress,regime_score,regime_label
2023-08-23,0.061845003274466945,0.03287749268428297,15.979999542236328,False,True,False,1,watch
2023-08-24,0.07823727930123706,0.03287749268428297,17.200000762939453,False,True,False,1,watch
2023-08-25,0.08188044031564516,0.03287749268428297,15.680000305175781,False,True,False,1,watch
2023-08-28,0.08315605728575355,0.03287749268428297,15.079999923706055,False,True,False,1,watch
2023-08-29,0.11304530746430369,0.03287749268428297,14.449999809265137,False,True,False,1,watch
2023-08-30,0.11276004201811864,0.03287749268428297,13.880000114440918,False,True,False,1,watch
2023-08-31,0.11124534226641261,0.03287749268428297,13.569999694824219,False,True,False,1,watch
2023-09-01,0.15417175918174145,0.03722504803505289,13.09000015258789,False,True,False,1,watch
2023-09-05,0.15650972290961584,0.03722504803505289,14.010000228881836,False,True,False,1,watch
2023-09-06,0.18418231877811908,0.03722504803505289,14.449999809265137,False,True,False,1,watch
2023-09-07,0.1641759139094348,0.03722504803505289,14.399999618530273,False,True,False,1,watch
2023-09-08,0.16359265756070943,0.03722504803505289,13.84000015258789,False,True,False,1,watch
2023-09-11,0.22292005440092746,0.03722504803505289,13.800000190734863,True,True,False,2,defensive
2023-09-12,0.22486882433070257,0.03722504803505289,14.229999542236328,True,True,False,2,defensive
2023-09-13,0.2148519822121122,0.03722504803505289,13.479999542236328,True,True,False,2,defensive
2023-09-14,0.2197845796103668,0.03722504803505289,12.819999694824219,True,True,False,2,defensive
2023-09-15,0.22764167660522427,0.03722504803505289,13.789999961853027,True,True,False,2,defensive
2023-09-18,0.22486904331393076,0.03722504803505289,14.0,True,True,False,2,defensive
2023-09-19,0.22222234757015208,0.03722504803505289,14.109999656677246,True,True,False,2,defensive
2023-09-20,0.2191503608099547,0.03722504803505289,15.140000343322754,True,True,False,2,defensive
2023-09-21,0.27410699301551683,0.03722504803505289,17.540000915527344,True,True,False,2,defensive
2023-09-22,0.273921048177853,0.03722504803505289,17.200000762939453,True,True,False,2,defensive
2023-09-25,0.2499093564091762,0.03722504803505289,16.899999618530273,True,True,False,2,defensive
2023-09-26,0.255185713567965,0.03722504803505289,18.940000534057617,True,True,False,2,defensive
2023-09-27,0.26734776304267877,0.03722504803505289,18.219999313354492,True,True,False,2,defensive
2023-09-28,0.2690673752141941,0.03722504803505289,17.34000015258789,True,True,False,2,defensive
2023-09-29,0.26826950300759284,0.03722504803505289,17.520000457763672,True,True,False,2,defensive
2023-10-02,0.2791601933281653,0.03687206638119256,17.610000610351562,True,True,False,2,defensive
2023-10-03,0.30901831023787524,0.03687206638119256,19.780000686645508,True,True,False,2,defensive
2023-10-04,0.3239941646985626,0.03687206638119256,18.579999923706055,True,True,False,2,defensive
2023-10-05,0.31210933889472275,0.03687206638119256,18.489999771118164,True,True,False,2,defensive
2023-10-06,0.2882211672304541,0.03687206638119256,17.450000762939453,True,True,False,2,defensive
2023-10-09,0.3134250536986518,0.03687206638119256,17.700000762939453,True,True,False,2,defensive
2023-10-10,0.3083283578392229,0.03687206638119256,17.030000686645508,True,True,False,2,defensive
2023-10-11,0.3424510520659789,0.03687206638119256,16.09000015258789,True,True,False,2,defensive
2023-10-12,0.35488094626586614,0.03687206638119256,16.690000534057617,True,True,False,2,defensive
2023-10-13,0.3311784190291459,0.03687206638119256,19.31999969482422,True,True,False,2,defensive
2023-10-16,0.2977959172182106,0.03687206638119256,17.209999084472656,True,True,False,2,defensive
2023-10-17,0.2893245769525408,0.03687206638119256,17.8799991607666,True,True,False,2,defensive
2023-10-18,0.2962261362969183,0.03687206638119256,19.219999313354492,True,True,False,2,defensive
2023-10-19,0.30894946636911474,0.03687206638119256,21.399999618530273,True,True,False,2,defensive
2023-10-20,0.29973480896761395,0.03687206638119256,21.709999084472656,True,True,False,2,defensive
2023-10-23,0.29354611535636765,0.03687206638119256,20.3700008392334,True,True,False,2,defensive
2023-10-24,0.2916838065563313,0.03687206638119256,18.969999313354492,True,True,False,2,defensive
2023-10-25,0.31847706860906155,0.03687206638119256,20.190000534057617,True,True,False,2,defensive
2023-10-26,0.2907783607720255,0.03687206638119256,20.68000030517578,True,True,False,2,defensive
2023-10-27,0.29500629014537216,0.03687206638119256,21.270000457763672,True,True,False,2,defensive
2023-10-30,0.2933084171116193,0.03687206638119256,19.75,True,True,False,2,defensive
2023-10-31,0.3042322795434733,0.03687206638119256,18.139999389648438,True,True,False,2,defensive
2023-11-01,0.32902380190847996,0.032512659098611785,16.8700008392334,True,True,False,2,defensive
2023-11-02,0.37269307273516905,0.032512659098611785,15.65999984741211,True,True,False,2,defensive
2023-11-03,0.37818768953577453,0.032512659098611785,14.90999984741211,True,True,False,2,defensive
2023-11-06,0.38727193066681326,0.032512659098611785,14.890000343322754,True,True,False,2,defensive
2023-11-07,0.377189189775586,0.032512659098611785,14.8100004196167,True,True,False,2,defensive
2023-11-08,0.3750932176036899,0.032512659098611785,14.449999809265137,True,True,False,2,defensive
2023-11-09,0.38599733836862193,0.032512659098611785,15.289999961853027,True,True,False,2,defensive
2023-11-10,0.3818518928021699,0.032512659098611785,14.170000076293945,True,True,False,2,defensive
2023-11-13,0.3810052313303875,0.032512659098611785,14.760000228881836,True,True,False,2,defensive
